"ID","Sex","Pop","Clade","Bib","Room","SVL","Position","Circuit","Treatment","Day...11","DATE","START_time","START_temp","Mass","Tgape_time_MAX","Vtmax_rate_CT_MAX","Tgape_rate","Vtmax","Tgape","Tincrease","Day...22","Date","START_time_MIN","START_temp_MIN","CTmin_time","Ctmin","CTmin_rate"
398,"Male","NRKT","South","Y","Room 2",52,"Upper",4,"Warm",6,"5/6/2024",10:55:00,30.14,7.45,14,1.081978,1.001303,43.1845,44.3217,14.19,2,"19/6/2024","14:13",20.0409,26.6,6.92774,-0.5482823
311,"Male","STURT","North","N","Room 3",77,"Lower",2,"Cool",9,"11/6/2024",16:08:00,33.06,14.16,11.66,1.080755,1.026857,41.2734,43.5597,10.5,6,"24/6/2024","16:45",20.4417,26.33,8.4962,-0.4928288
402,"Male","NRKT","South","N","Room 3",62,"Upper",2,"Warm",8,"11/6/2024",04:17:00,32.68,11.04,11.7,1.080137,0.9002993,38.291,41.934,9.25,6,"24/6/2024","16:15",20.2386,24.38,8.5759,-0.517166
375,"Male","KNGA","South","Y","Room 1",59,"Upper",4,"Cool",4,"29/5/2024",11:15:00,34.46,10.31,8.85,1.064349,1.038834,40.7,42.1962,7.74,4,"21/6/2024","12:30",19.4206,51,5.172,-0.2836342
407,"Male","NRKT","South","N","Room 1",52,"Lower",2,"Warm",9,"11/6/2024",14:10:00,32.81,11.18,12.62,1.053272,0.7615663,40.461,41.4471,8.64,6,"24/6/2024","12:30",21.1238,25.13,9.7361,-0.5247114
357,"Male","KNGA","South","Y","Room 2",66,"Upper",1,"Warm",4,"29/5/2024",11:38:00,33.78,11.13,9.82,1.050469,0.9946266,40.6591,42.8715,9.09,5,"22/6/2024","13:30",20.3487,24.38,8.8587,-0.4615272
326,"Male","MR","North","N","Room 1",69,"Lower",1,"Warm",3,"28/5/2024",04:32:00,32.24,13.81,10.58,1.035837,0.9552555,39.2725,41.6823,9.44,5,"22/6/2024","14:38",20.0737,31.96,7.4564,-0.4474612
351,"Male","KNGA","South","N","Room 3",64,"Upper",3,"Warm",6,"4/6/2024",16:42:00,31.28,11.52,8.52,0.9904123,1.060009,37.2,41.0471,9.77,2,"19/6/2024","15:01",20.0792,15.43,9.6361,-0.6641165
412,"Male","NRKT","South","N","Room 1",59,"Upper",2,"Cool",5,"31/5/2024",12:01:00,33.34,13.11,13.1,0.9885574,0.876491,40.2486,43.6681,10.33,1,"18/6/2024","12:44",20.455,28.71,10.433,-0.4067872
406,"Male","NRKT","South","Y","Room 3",66,"Upper",4,"Cool",9,"11/6/2024",15:19:00,32.57,10.61,10.83,0.9861769,0.9874914,36.5216,42.466,9.89,5,"22/6/2024","15:19",19.93,33.3,8.3798,-0.4014592
401,"Male","NRKT","South","Y","Room 3",65,"Lower",3,"Warm",5,"31/5/2024",12:59:00,33.45,12.28,9.17,0.980188,1.121461,36.1836,42.5971,9.15,1,"18/6/2024","16:45",NA,NA,NA,NA
323,"Male","MR","North","Y","Room 1",65,"Upper",2,"Cool",8,"11/6/2024",15:05:00,33.45,12.18,12.82,0.9799452,0.8296951,40.9517,43.259,9.81,6,"24/6/2024","10:50",20.13,38.43,6.4017,-0.402051
377,"Male","KNGA","South","Y","Room 1",65,"Upper",1,"Cool",6,"4/6/2024",16:16:00,32.9,14.63,10.55,0.9784295,0.8862826,37.1823,41.7294,8.83,2,"19/6/2024","9:45",21.2488,24.68,10.5033,-0.4965377
392,"Male","NRKT","South","Y","Room 1",59,"Upper",3,"Cool",4,"29/5/2024",13:46:00,34.24,12.23,9.38,0.9770194,0.9751249,41.7385,42.5389,8.3,5,"22/6/2024","12:46",19.8316,25.15,9.1345,-0.4861876
337,"Male","MR","North","Y","Room 2",80,"Upper",2,"Cool",3,"29/5/2024",09:27:00,32.63,16.13,11.55,0.9724099,0.9621572,38.6593,42.1847,9.56,4,"21/6/2024","16:00",19.4925,50.3,5.3985,-0.3133831
322,"Male","MR","North","Y","Room 3",71,"Upper",2,"Warm",4,"29/5/2024",13:23:00,33.84,15.11,11.67,0.9652323,0.8220261,37.3,42.7254,8.88,4,"21/6/2024","14:10",20.973,32.45,7.6282,-0.4666672
320,"Male","MR","North","N","Room 3",66,"Lower",3,"Cool",5,"4/6/2024",14:42:00,33.44,13.96,11.45,0.9581353,0.8221744,39.1052,42.4912,9.05,2,"19/6/2024","15:40",20.0792,39.95,5.9649,-0.3993005
397,"Male","NRKT","South","N","Room 2",67,"Lower",4,"Cool",2,"28/5/2024",13:08:00,33.91,9.01,13.97,0.9541368,NA,36.9,43.8621,9.95,4,"21/6/2024","11:00",19.3655,10.003,7.84,-0.595156
