"ID","Population","Clade","Bib","Room","Treatment","OCT_RTL","JAN_RTL","MAY_RTL","OCT_RTL_NEW","JAN_RTL_NEW","MAY_RTL_NEW","MSR_JAN","MTG_JAN","MTO_JAN","MSR_MAY","MTG_MAY","MTO_MAY","Mass_JAN","SVL_JAN","Mass_MAY","SVL_MAY","CHANGE_SVL","CHANGE_MASS","CHANGE_BCI","JAN","MAY","JAN_NEW","MAY_NEW"
375,"KNGA","South","Y","Room 1","Cool",1.312908,1.105529,1.084132,0.120330678,0.261665357,0.679737525,433,307,9509,688,1708,3665,9.334,59,10.577,65,6,1.243,3.3509434,0.941492811,0.938267239,2.753968248,1.496539414
376,"KNGA","South","N","Room 1","Cool",1.456214,1.158273,1.058051,0.142527929,0.21919968,0.34188813,846,1380,5525,641,1481,4567,13.411,70,14.57,73,3,1.159,1.5086521,0.978192695,1.046019,0.860177769,2.060532368
377,"KNGA","South","Y","Room 1","Cool",0.966476,NA,1.011164,2.222110169,NA,1.518272834,490,491,16311,665,1643,4964,13.24,65,15.821,69,4,2.581,0.060032,1.147147609,1.605217972,0.535474386,1.612874719
378,"KNGA","South","Y","Room 2","Cool",1.157388,0.950221,1.018772,0.958388437,0.574264865,0.901641779,764,1645,5482,483,3281,19026,11.487,67,11.416,67,0,-0.071,0.1105437,1.088950162,0.9217135,0.472257808,1.452122731
379,"KNGA","South","N","Room 1","Warm",0.921031,0.888817,NA,3.262040433,2.218192621,NA,578,1102,4613,NA,NA,NA,8.315,60,9.815,61,1,1.5,-2.3377335,1.044068862,1.105216735,1.650826811,0.895082631
380,"KNGA","South","N","Room 3","Cool",0.945864,0.862975,0.997152,1.200822007,0.16433133,1.316888958,564,404,6064,589,2437,6442,11.033,63,12.745,65,2,1.712,-1.0193837,1.24044977,1.42692437,1.910061891,0.984256509
381,"KNGA","South","Y","Room 3","Cool",0.927471,1.038648,1.137985,1.432183014,0.546930356,0.856666766,548,959,8728,671,1325,4846,9.905,65,12.586,66,1,2.681,-3.9399165,NA,NA,NA,NA
384,"NGKT","South","Y","Room 2","Cool",NA,1.150205,1.438614,NA,0.284692538,0.352179449,655,1273,4145,867,2253,7353,11.471,64,10.502,65,1,-0.969,2.6259741,1.281320599,1.437971667,3.524178038,3.502058811
385,"NGKT","North","Y","Room 2","Warm",NA,0.999966,NA,NA,1.439953287,NA,453,302,1627,625,1908,6845,6.185,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,"NGKT","South","Y","Room 1","Cool",NA,0.995526,1.362279,NA,1.447026781,0.242153629,623,1801,7915,609,2876,16266,10.259,59,12.41,63,4,2.151,0.0450249,1.367107688,1.311496077,0.595938738,0.384975392
393,"NGKT","South","Y","Room 3","Cool",NA,1.025695,1.00415,NA,0.947579245,0.970761318,472,357,4716,705,2957,12867,12.747,65,13.988,66,1,1.241,-0.7954943,1.107648558,0.904749476,1.524198685,1.376680758
395,"NGKT","South","Y","Room 3","Cool",NA,1.029101,1.082712,NA,0.838602905,0.152064676,496,450,13027,903,2327,8371,13.138,66,14.324,68,2,1.186,0.3949638,1.315081002,1.595722782,0.465813323,0.381753191
396,"NGKT","South","Y","Room 2","Cool",NA,1.074737,1.020206,NA,1.081718287,1.736517923,446,847,5923,644,2099,3607,12.239,67,13.132,68,1,0.893,-0.3332211,1.031441475,1.187491763,0.690712342,0.915683198
397,"NGKT","South","N","Room 2","Cool",NA,0.962911,1.006214,NA,0.619430839,1.981743399,634,356,4606,473,1962,12020,9.762,64,8.94,65,1,-0.822,1.9515382,1.150131648,1.273295397,3.229601158,1.183051331
